Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD)
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Italy,,,"213,872.00","211,200.00","15,760,585.26","721,912.87"
2016,01,1071 100,06031100,--Roses,Saudi Arabia,,,"212,327.00","186,938.34","15,425,087.23","706,545.40"
2016,01,1000 100,12019000,-OTHER,India,,,"1,653,300.00","1,650,000.00","14,999,934.56","687,071.30"
2016,01,1000 100,07133900,"Dried beans, shelled, nes",India,,,"601,200.00","600,000.00","14,539,820.40","665,995.80"
2016,01,1071 100,01061300,--CAMELS & OTHER CAMELIDS (CAMELIDAE),Egypt,742,UN,"333,900.00","333,900.00","14,357,198.47","657,630.81"
2016,01,1000 100,12074090,--OTHER,United States,,,"707,434.80","706,000.00","13,509,342.08","618,794.78"
2016,01,1071 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",India,,,"1,442,880.00","1,440,000.00","13,200,105.60","604,630.22"
2016,01,3052 505,61152900,--Other panty hose and tights: of other textile materials,Germany,,,"43,238.89","39,707.75","12,984,476.11","594,753.32"
2016,01,1000 100,07132000,"Dried chickpeas, shelled",Pakistan,,,"745,488.00","744,000.00","12,669,568.94","580,329.01"
2016,01,1000 100,52052200,"Combed single cotton yarn, with >=85% cotton, nprs, >14mn but <=43mn",Turkey,,,"252,101.56","246,484.95","12,478,201.39","571,563.43"
2016,01,1000 100,12074090,--OTHER,Canada,,,"609,175.90","607,960.00","12,457,492.26","570,614.85"
2016,01,3052 505,62063000,"WOMEN'S OR GIRLS' BLOUSES, SHIRTS, ETC, OF COTTON.",Germany,"115,392",UN,"48,199.00","44,325.00","12,150,544.12","556,555.11"
2016,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Belgium,"11,642,578",UN,"33,137.00","30,621.82","12,060,745.35","552,441.88"
2016,01,1071 100,01041000,LIVE SHEEP,Saudi Arabia,"7,983",UN,"222,987.00","222,987.00","11,933,901.95","546,631.82"
2016,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Thailand,,,"8,673.00","8,360.00","11,682,440.29","535,113.63"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sweden,,,"116,192.00","115,200.00","11,222,345.20","514,039.00"
2016,01,1071 100,25232900,--other,Djibouti,,,"4,942,895.00","4,920,000.00","11,221,977.55","514,022.16"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Russian Federation,,,"794,074.00","792,520.00","10,849,900.95","496,979.21"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Jordan,,,"110,700.00","108,000.00","10,714,129.56","490,760.20"
2016,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Hong Kong,,,"17,129.67","16,153.95","10,489,808.61","480,485.19"
2016,01,1000 101,30023000,-Vaccines for veterinary medicine,Niger,"19,350,000",LTR,"14,025.00","14,017.00","9,968,555.54","456,609.22"
2016,01,1000 100,12079990,--OTHER,United Kingdom,,,"468,121.40","467,000.00","9,676,203.95","443,218.07"
2016,01,1071 100,06031100,--Roses,Norway,,,"131,967.00","115,190.96","9,657,016.53","442,339.19"
2016,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United States,,,"175,008.00","172,800.00","9,553,886.85","437,615.34"
2016,01,1000 100,01022910,---OX,Djibouti,707,UN,"228,835.00","228,835.00","9,029,686.15","413,604.35"
2016,01,1071 100,07020000,Tomatoes fresh or chilled,Somalia,,,"1,396,391.00","1,163,624.00","8,855,557.10","405,628.38"
2016,01,1000 100,06021000,UNROOTED CUTTINGS AND SLIPS,Netherlands,"10,215,464",UN,"46,395.00","41,198.00","8,809,521.82","403,519.74"
2016,01,1000 100,74082900,--Other,Turkey,,,"102,270.00","100,200.00","8,694,964.32","398,272.44"
2016,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Italy,,,"11,221.00","10,866.00","8,377,828.92","383,746.06"
2016,01,1000 100,64051000,"-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS",Kenya,"69,696",2UN,"50,400.00","49,200.00","8,279,974.58","379,263.85"
2016,01,1000 100,12074090,--OTHER,Japan,,,"380,760.00","380,000.00","8,231,185.13","377,029.05"
2016,01,1000 100,12074010,---STERALIZED,China,,,"380,760.00","380,000.00","8,193,315.28","375,294.42"
2016,01,1000 100,19059020,---Fresh Injera,United States,,,"166,904.00","156,863.04","8,177,243.85","374,558.27"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Canada,,,"58,320.00","57,600.00","8,086,330.83","370,394.01"
2016,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Canada,"4,631,725",UN,"23,542.00","15,696.00","7,995,313.82","366,224.98"
2016,01,1000 100,12019000,-OTHER,South Africa,,,"925,848.00","924,000.00","7,811,741.86","357,816.47"
2016,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,United Kingdom,,,"12,902.77","12,589.23","7,691,268.39","352,298.19"
2016,01,1000 100,71031000,-Unworked or simply sawn or roughly shaped,India,,,512.68,457.54,"7,076,610.92","324,143.83"
2016,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,France,"5,003,600",UN,"25,320.00","18,988.00","6,778,315.96","310,480.45"
2016,01,3052 505,85171200,-- Telephone for cellular networks or for other wireless networks,Nigeria,"44,800",UN,"8,022.26","7,591.59","6,731,524.99","308,337.19"
2016,01,1000 100,41131000,LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..,China,,,"22,124.37","21,412.57","6,608,929.78","302,721.72"
2016,01,1071 100,06031100,--Roses,United Kingdom,,,"87,072.00","76,620.36","6,386,859.05","292,549.78"
2016,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of",,,"54,720.00","54,000.00","6,167,814.34","282,516.45"
2016,01,1000 100,12079910,---STERALIZED NIGER SEED/NUG,United States,,,"306,612.00","306,000.00","6,097,234.21","279,283.53"
2016,01,1000 101,63041900,--other,Italy,"160,893",M2,"67,943.00","66,105.00","6,050,968.66","277,164.34"
2016,01,1000 100,19059020,---Fresh Injera,United Arab Emirates,,,"171,657.00","164,100.00","5,850,560.11","267,984.63"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Viet Nam,,,"116,592.00","115,200.00","5,839,992.55","267,500.59"
2016,01,3052 505,85171200,-- Telephone for cellular networks or for other wireless networks,Kenya,"18,000",UN,"3,472.67","3,252.82","5,772,822.59","264,423.87"
2016,01,1000 100,07133100,"Dried beans, shelled",Indonesia,,,"235,470.00","235,000.00","5,709,484.23","261,522.66"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Greece,,,"96,240.00","96,000.00","5,635,034.53","258,112.49"
2016,01,3052 505,54071000,- Woven fabrics of high tenacity yarn of nylon... or of polyesters,Kenya,"429,829",M,"49,055.00","47,316.00","5,476,946.27","250,871.27"
2016,01,1000 100,07132000,"Dried chickpeas, shelled",United Arab Emirates,,,"312,610.00","311,986.00","5,439,669.70","249,163.82"
2016,01,1000 100,01022910,---OX,Somalia,416,UN,"133,120.00","133,120.00","5,422,843.20","248,393.08"
2016,01,1071 100,06031100,--Roses,United Arab Emirates,,,"73,332.10","64,533.12","5,317,671.80","243,575.71"
2016,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"109,620.00","108,000.00","5,223,957.48","239,283.13"
2016,01,1000 100,01061300,--CAMELS & OTHER CAMELIDS (CAMELIDAE),Egypt,300,UN,"120,000.00","120,000.00","5,202,250.80","238,288.86"
2016,01,1000 100,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",Iraq,,,"47,910.00","47,000.00","5,195,845.15","237,995.44"
2016,01,1000 100,04090000,Natural honey,Norway,,,"66,531.00","62,640.00","5,146,656.78","235,742.37"
2016,01,1000 100,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",China,,,"80,320.00","80,000.00","5,053,525.12","231,476.48"
2016,01,1000 100,71031000,-Unworked or simply sawn or roughly shaped,United States,,,412.87,371.45,"5,016,995.78","229,803.26"
2016,01,3052 505,85171200,-- Telephone for cellular networks or for other wireless networks,Rwanda,"33,000",UN,"5,903.69","5,581.39","4,987,112.42","228,434.45"
2016,01,1000 100,12079990,--OTHER,India,,,"231,462.00","231,000.00","4,931,477.91","225,886.12"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Israel,,,"77,760.00","76,800.00","4,904,521.66","224,651.39"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Portugal,,,"441,882.00","441,000.00","4,884,278.67","223,724.16"
2016,01,1000 100,07133900,"Dried beans, shelled, nes",Pakistan,,,"505,008.00","504,000.00","4,801,547.73","219,934.67"
2016,01,1000 100,02042100,Fresh or chilled sheep carcasses and half carcasses (excl. lamb),Saudi Arabia,,,"40,339.00","39,685.65","4,719,791.43","216,189.83"
2016,01,3052 505,41139000,-OTHER,China,,,"13,714.00","13,508.00","4,681,685.32","214,444.38"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",United Kingdom,,,"320,960.00","320,000.00","4,681,476.32","214,434.80"
2016,01,3052 505,62034200,"--MEN'S OR BOYS' TROUSERS, BREECHES, ETC, OF COTTON",United States,"63,516",UN,"18,351.90","16,245.65","4,627,017.71","211,940.33"
2016,01,1000 100,61091000,"-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED",Italy,"113,318",UN,"19,377.60","17,091.60","4,533,736.07","207,667.57"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",New Zealand,,,"37,680.00","37,200.00","4,514,057.11","206,766.18"
2016,01,1000 101,12074090,--OTHER,Turkey,,,"190,456.00","190,000.00","4,456,026.30","204,108.08"
2016,01,1000 100,07129010,---Mixture of Vegetables,Viet Nam,,,"7,000.00","5,950.00","4,436,662.12","203,221.10"
2016,01,1000 100,07132000,"Dried chickpeas, shelled",Jordan,,,"240,960.00","240,000.00","4,426,177.32","202,740.85"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Germany,,,"408,912.00","408,000.00","4,350,042.30","199,253.48"
2016,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",France,,,"77,824.00","76,800.00","4,331,853.25","198,420.34"
2016,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Philippines,,,"4,887.00","4,720.00","4,276,646.36","195,891.59"
2016,01,1000 505,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Italy,,,"11,802.01","11,539.00","4,252,444.64","194,783.03"
2016,01,1000 100,07020000,Tomatoes fresh or chilled,Djibouti,,,"1,087,588.00","903,640.50","4,225,614.18","193,554.06"
2016,01,1000 100,62042900,"--WOMEN'S OR GIRLS' ENSEMBLES OF OTHER TEXTILES, NES",United States,"7,776",UN,"4,463.20","3,797.40","4,161,819.07","190,631.93"
2016,01,1000 100,25231000,-Cement clinkers,Djibouti,,,"2,504,860.00","2,504,860.00","4,159,978.31","190,547.61"
2016,01,3052 505,61051000,"-MEN'S OR BOYS' SHIRTS OF COTTON, KNITTED OR CROCHETED",Germany,"87,484",UN,"13,824.00","12,719.00","4,141,780.77","189,714.07"
2016,01,1000 100,09024000,"BLACK TEA FERMENTED/PARTLY FERMENTED,FLAVOURED OR NOT,IN PACKINGS OF >=3KG",Pakistan,,,"90,638.00","89,650.00","4,117,826.65","188,616.86"
2016,01,3052 505,61059000,"-MEN'S OR BOYS' SHIRTS OF OTHER TEXTILES, NES, KNITTED OR CROCHETED",Germany,"49,254",UN,"22,740.00","21,531.00","4,074,007.04","186,609.70"
2016,01,1000 100,07011000,Seed potatoes,Djibouti,,,"871,400.00","853,972.00","4,005,366.56","183,465.63"
2016,01,1000 100,07031000,"Onions and shallots, fresh or chilled",Djibouti,,,"1,253,350.00","1,240,595.00","3,953,479.10","181,088.93"
2016,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Greece,,,"76,800.00","76,800.00","3,823,562.92","175,138.12"
2016,01,1000 100,12019000,-OTHER,Turkey,,,"440,880.00","440,000.00","3,818,097.03","174,887.76"
2016,01,1000 100,12019000,-OTHER,China,,,"190,380.00","190,000.00","3,807,877.02","174,419.63"
2016,01,1071 100,07082000,"Beans, fresh or chilled",Netherlands,,,"234,400.00","205,100.00","3,803,931.02","174,238.88"
2016,01,1000 100,12079990,--OTHER,Israel,,,"190,380.00","190,000.00","3,770,937.03","172,727.59"
2016,01,1000 100,10089090,--- other cereals,China,,,"190,380.00","190,000.00","3,764,505.15","172,432.98"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Yemen,,,"312,624.00","312,000.00","3,737,390.05","171,190.98"
2016,01,3052 505,62063000,"WOMEN'S OR GIRLS' BLOUSES, SHIRTS, ETC, OF COTTON.",Japan,"103,910",UN,"13,376.00","11,294.00","3,728,583.03","170,787.57"
2016,01,1000 100,12011000,-SEED,Viet Nam,,,"440,880.00","440,000.00","3,707,213.24","169,808.73"
2016,01,3052 505,61112000,"-Babies' garments, etc, of cotton, knitted or crocheted",United States,"801,808",UN,"40,954.41","31,661.78","3,658,171.64","167,562.38"
2016,01,1000 100,10089090,--- other cereals,Turkey,,,"190,380.00","190,000.00","3,649,293.90","167,155.74"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Finland,,,"38,880.00","38,400.00","3,623,670.40","165,982.05"
2016,01,1000 100,61091000,"-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED",United States,"101,658",UN,"14,333.69","13,115.13","3,595,994.92","164,714.38"
2016,01,3052 505,61083200,"--WOMEN'S OR GIRLS' PYJAMAS, ETC, OF MAN-MADE FIBRES, KNITTED OR CROCHETED",Germany,"17,270",UN,"10,662.00","10,183.00","3,563,304.17","163,216.98"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Saudi Arabia,,,"258,516.00","258,000.00","3,554,699.98","162,822.87"
2016,01,3052 505,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,China,,,"10,636.50","10,544.10","3,353,189.47","153,592.69"
2016,01,1000 100,41139000,-OTHER,China,,,"13,627.50","13,401.40","3,329,465.42","152,506.01"
2016,01,1071 100,06031900,--Other cut flowers,Japan,,,"29,525.10","25,982.08","3,295,918.79","150,969.41"
2016,01,1000 100,22087000,Liqueurs and cordials,South Sudan,"192,296",LTR,"103,831.00","100,327.00","3,247,981.91","148,773.66"
2016,01,1071 100,12079910,---STERALIZED NIGER SEED/NUG,United States,,,"148,000.00","148,000.00","3,201,135.00","146,627.84"
2016,01,3052 505,62029300,"--WOMAN'S OR GIRLS' ANORAKS, WIND-CHEATERS, ETC, OF MAN-MADE FIBRES",Germany,"7,763",UN,"1,535.00","1,183.52","3,145,892.36","144,097.45"
2016,01,1000 100,12074090,--OTHER,Mexico,,,"133,266.00","133,000.00","3,113,893.09","142,631.73"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Italy,,,"214,470.80","214,000.00","3,082,025.83","141,172.05"
2016,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Spain,"2,640,325",UN,"10,680.00","8,010.00","3,069,977.49","140,620.18"
2016,01,3052 505,64059000,-Other,Kenya,"23,232",2UN,"11,000.00","10,800.00","3,063,826.97","140,338.45"
2016,01,1000 100,12011000,-SEED,Kenya,,,"410,320.00","410,000.00","3,050,167.42","139,712.78"
2016,01,1000 101,52051200,"UNCOMBED SINGLE COTTON YARN, WITH >=85% COTTON, NPRS, >14MN BUT <=43MN",China,,,"75,131.00","72,891.00","3,036,273.22","139,076.35"
2016,01,1000 100,06031900,--Other cut flowers,Netherlands,,,"29,393.00","25,891.88","2,882,368.89","132,026.77"
2016,01,3052 505,62046300,"WOMEN'S OR GIRLS' TROUSERS, BREECHES, ETC, OF SYNTHETIC FIBRES.",Germany,"6,296",UN,"2,699.83","2,088.44","2,849,895.40","130,539.33"
2016,01,1000 100,12074090,--OTHER,Australia,,,"76,653.00","76,000.00","2,827,650.47","129,520.40"
2016,01,1071 100,44072900,--OTHER,Sudan,"3,801",M3,"1,330,350.00","1,330,350.00","2,761,915.37","126,509.40"
2016,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,China,,,"7,789.80","7,554.80","2,761,493.66","126,490.09"
2016,01,1000 100,09041200,"Pepper, crushed or ground",Saudi Arabia,,,"30,676.00","29,600.00","2,734,033.34","125,232.27"
2016,01,1071 100,01022910,---OX,Djibouti,213,UN,"70,590.00","70,590.00","2,720,133.54","124,595.59"
2016,01,1000 100,12101000,"Hop cones (excl. ground, powdered or pellets), fresh or dried",Sudan,,,"85,203.00","84,840.00","2,714,524.01","124,338.65"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",United Arab Emirates,,,"187,374.00","187,000.00","2,682,558.53","122,874.47"
2016,01,1000 100,12079990,--OTHER,Italy,,,"112,600.00","112,400.00","2,675,834.18","122,566.46"
2016,01,1000 100,64039900,--Other,United States,"13,133",2UN,"9,069.00","4,207.00","2,656,167.09","121,665.61"
2016,01,1000 100,07135000,"Dried broad beans and horse beans, shelled",Djibouti,,,"161,755.00","159,653.00","2,644,761.12","121,143.16"
2016,01,1000 100,07129090,---Other vegetables,Djibouti,,,"3,869.00","3,320.50","2,477,463.55","113,480.10"
2016,01,3052 505,52093900,--Other fabrics,Turkey,,,"17,204.00","16,901.00","2,466,159.34","112,962.31"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United Arab Emirates,,,"56,016.00","55,200.00","2,466,027.67","112,956.28"
2016,01,1071 100,25232100,"--White cement,whether or not artificially coloured",Kenya,,,"1,160,058.00","1,160,000.00","2,464,128.60","112,869.30"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Russian Federation,,,"18,240.00","18,000.00","2,457,777.63","112,578.39"
2016,01,1000 100,09041200,"Pepper, crushed or ground",South Africa,,,"27,756.00","26,400.00","2,441,854.01","111,849.01"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",South Africa,,,"240,480.00","240,000.00","2,432,862.60","111,437.16"
2016,01,1000 100,41131000,LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..,Hong Kong,,,"5,210.14","5,047.14","2,412,056.28","110,484.13"
2016,01,1000 100,05100090,"--- OTHER AMBERGIS , CASTOREN ,CIVET AND MUSK;CANTHARIDES;BILE ...GLANDS","Korea, Republic of",,,240.00,150.00,"2,402,673.74","110,054.36"
2016,01,3052 505,41131000,LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..,Italy,,,"14,471.00","14,241.00","2,392,434.12","109,585.33"
2016,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Indonesia,,,"3,052.00","2,931.00","2,381,846.88","109,100.39"
2016,01,1000 100,09041200,"Pepper, crushed or ground",Sudan,,,"28,109.00","27,822.00","2,361,125.72","108,151.25"
2016,01,1071 100,07051100,"Cabbage lettuce, fresh or chilled",Somalia,,,"555,648.00","549,478.00","2,350,022.96","107,642.69"
2016,01,1071 100,20089900,"--Other fruit, etc, prepared or preserved, nes",United Arab Emirates,,,"4,056.00","2,080.59","2,287,727.45","104,789.25"
2016,01,1071 100,08039000,-OTHER,Somalia,,,"444,186.00","444,186.00","2,273,417.61","104,133.79"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Singapore,,,"24,300.00","24,000.00","2,249,347.93","103,031.28"
2016,01,1000 100,12074090,--OTHER,United Arab Emirates,,,"114,228.00","114,000.00","2,234,415.96","102,347.32"
2016,01,1000 100,09103000,Turmeric (curcuma),United Arab Emirates,,,"125,250.00","125,000.00","2,231,237.32","102,201.72"
